add,            додати | dodati
allow,          дозволити | dozvoliti
appear,         појавити | pojaviti
ask,            питати | pitati
become,		постати | postati
begin,		започети | započeti
believe,	веровати | verovati
bring,		довести | dovesti
build,		градити | graditi
buy,		купити | kupiti
call,		позивити | poziviti
change,		променити | promeniti
come,
consider,
continue,
create,
cut,
decide,
die,
do,
expect,
fall,
feel,
find,
follow,
get,
give,
go,
grow,
happen,
have,
hear,
help,
hold,
include,
keep,
kill,
know,
lead,
learn,
leave,
let,
like,
live,
look,
lose,
love,
make,
mean,
meet,
move,
need,
offer,
open,
pass,
pay,
play,
provide,
pull,
put,
raise,
reach,
read,
remain,
remember,
report,
require,
run,
say,
see,
seem,
sell,
send,
serve,
set,
show,
sit,
speak,
spend,
stand,
start,
stay,
stop,
suggest,
take,
talk,
tell,
think,
try,
turn,
understand,
use,
wait,
walk,
want,
watch,
win,
work,
write,
